"# feature name","# source sequence","# target sequence","# script tag","# language tag","# lookupflags (space-delimited)","# comments (without leading '#')"
,,,,,,
"# Ligatures",,,,,,
"liga","f i","fi",,,,
"liga","f l","fl",,,,
,,,,,,
"# Subscript",,,,,,
"subs","zero","uni2080",,,,
"subs","one","uni2081",,,,
"subs","two","uni2082",,,,
"subs","three","uni2083",,,,
"subs","four","uni2084",,,,
"subs","five","uni2085",,,,
"subs","six","uni2086",,,,
"subs","seven","uni2087",,,,
"subs","eight","uni2088",,,,
"subs","nine","uni2089",,,,
,,,,,,
"# Superscript",,,,,,
"sups","zero","uni2070",,,,
"sups","one","onesuperior",,,,
"sups","two","twosuperior",,,,
"sups","three","threesuperior",,,,
"sups","four","uni2074",,,,
"sups","five","uni2075",,,,
"sups","six","uni2076",,,,
"sups","seven","uni2077",,,,
"sups","eight","uni2078",,,,
"sups","nine","uni2079",,,,
,,,,,,
"# Localized forms",,,,,,
"locl","i","i.latn_TRK","latn","AZE",,"Turkish version of the 'i'"
"locl","i","i.latn_TRK","latn","CRT",,"Turkish version of the 'i'"
"locl","i","i.latn_TRK","latn","TRK",,"Turkish version of the 'i'"
"locl","scedilla","scommaaccent","latn","MOL",,
"locl","Scedilla","Scommaaccent","latn","MOL",,
"locl","scedilla","scommaaccent","latn","ROM",,
"locl","Scedilla","Scommaaccent","latn","ROM",,
,,,,,,
"liga","afii57440 afii57451","uniFE71","arab",,"RightToLeft","Comment 1"
"liga","afii57457 afii57452","uniFC5E","arab",,"IgnoreBaseGlyphs,RightToLeft","Comment 2"
